CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A009;A010;A010_05;A011;A011_07;A012;A012_01;A012_02;A012_03;A012_04;A012_05;A012_06;A012_07;A012_08;A012_09;A012_09a;A014;B003;B003_01;B003_02;B003_03;B003_04;B003_05;B003_06;B003_07;B003_07a;B004;B005_01;B006;B007_01;B008;B008_01;B008_02;B008_03;B008_04;B008_05;B008_06;B008_06a;B009;B009_01;B010;B015;B015_01;B015_02;B015_03;B015_04;B015_05;B015_06;B015_07;B015_08;B011;B011_03;B012;B013;B013_01;B016_CN;B016x01;B016x11;B016x12;B016x13;B016x02;B016x21;B016x22;C001;C001_01;C001_02;C001_03;C001_04;C001_05;C001_06;C001_07;C001_08;C001_08a;C001_09;C002;C002_01;C002_02;C002_03;C002_04;C002_05;C002_06;C002_07;C002_08;C002_08a;C002_09;C003;C003_01;C003_02;C003_03;C003_04;C003_05;C003_06;C003_07;C003_08;C003_09;C003_09a;C003_10;C004;C004_01;C004_02;C004_03;C004_04;C004_05;C004_05a;C004_06;C005;C005_01;C006;C006_01;C006_02;C006_03;C006_04;C006_05;C006_06;C006_07;C006_08;C006_08a;C006_09;C007_01;D008;D002;D001_01;D003;D004_01;D005_01;D006_01;D007;;;;;;;;;;;;;;;;;;;;;;;;
1238;;;base;interview;14.08.2019 10:26;422;1;;3;;1;1;1;2;1;1;1;1;1;1;;2;2;1;2;2;1;1;1;1;;3;;1;;1;1;1;1;2;1;1;;2;;3;;;;;;;;;;;;;2;;;;;;;;;;1;1;1;1;1;1;1;1;1;;2;2;1;1;1;2;2;1;1;1;;1;2;1;1;1;2;2;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;Testing different methods;1;3;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1239;;;base;interview;14.08.2019 10:27;276;1;;3;;1;1;1;1;1;1;1;1;1;2;Analytical Chemistry;3;2;1;1;1;2;1;2;1;;1;"Information about incidences which were not expected but are worth to note; Notes about ideas how to go on or possible reasons why an experiment failed";1;;2;2;1;2;1;1;1;;1;original data+ analysed data has to be stored and uploaded at our electronic lab journal;2;;;;;;;;;;;;;1;eLABFTW;;;;;;;;;1;1;2;1;1;1;1;1;1;;1;2;2;2;1;1;1;1;1;1;;1;2;2;2;1;1;1;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1240;;;base;interview;14.08.2019 10:33;276;1;;1;;2;1;1;2;1;1;1;2;1;1;;5;5;2;2;2;2;1;2;1;;1;hand performed titrations;1;;2;1;2;2;1;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;4;2;2;2;1;1;1;2;1;;1;4;1;2;1;2;2;2;1;1;;1;4;1;2;1;2;1;2;2;1;1;;1;3;2;2;2;1;1;;1;1;university data bases;1;1;1;1;1;1;1;2;1;;1;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1241;;;base;interview;14.08.2019 10:34;276;2;;3;;1;1;1;2;1;1;1;1;1;1;;4;3;1;2;2;2;1;1;1;;2;;1;;1;1;1;1;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;3;1;2;1;1;1;2;2;1;;1;4;1;1;2;2;2;2;1;1;;1;3;1;1;2;2;1;1;2;1;1;;1;1;1;1;1;2;1;;1;1;"Scifinder; SDBS";1;2;1;1;1;1;1;1;1;;1;Validation of newly implemented methods on a larger spectroscopic database;1;1;;2;;Development of Programs / Routines to implement such a workflow on all devices;Forced automatic pipeline directely from the spectrometers to a network repository upon acquisition. Forced entry of metadata for traceable origin of each spectrum;2;;;;;;;;;;;;;;;;;;;;;;;;
1242;;;base;interview;14.08.2019 10:35;276;1;;2;;1;1;1;2;1;1;1;1;1;1;;4;2;1;1;2;1;1;1;2;from cell quantification experiments;1;"1) optical density measurements (OD600) for determining the growth phase of bacteria
2) results of plate counting for determining the number of colony forming units (CFU)";2;data (=CFU counts) from plate counting experiments is typed manually into the digital protocol describing the complete experiment;1;1;1;1;2;1;1;;1;previous to a publication all related data is collected and archived at our institutes server;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;1;2;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;1;1;;2;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1243;;;base;interview;14.08.2019 10:37;276;2;;1;;1;1;1;2;1;1;1;1;1;1;;6;1;1;1;2;1;1;1;1;;2;;2;definition of regions containing artifacts;3;1;2;2;2;1;1;;3;;2;;;;;;;;;;;;;2;;;;;;;;;;4;2;2;1;2;1;2;1;1;;1;3;1;2;1;2;1;2;1;1;;1;2;1;1;2;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;3;2;2;2;1;1;1;1;1;;1;comparison to our data;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1244;;;base;interview;14.08.2019 10:38;276;2;;2;;2;1;1;2;1;1;1;1;2;1;;4;2;1;1;2;2;1;1;1;;2;;1;;4;2;2;2;1;1;2;scripts used for the analysis;3;;3;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;1;1;1;2;1;1;;1;3;1;2;2;2;1;1;1;1;;1;3;1;2;2;2;1;1;1;1;1;;1;1;1;1;1;1;1;;2;2;;1;2;1;1;1;1;1;1;1;;1;;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1245;;;base;interview;14.08.2019 10:40;276;2;;2;;2;1;1;1;1;1;1;1;2;2;optics, physics;5;3;1;2;2;2;1;1;1;;2;;1;;3;1;2;2;2;1;1;;1;server, bachup, etc;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;1;1;2;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;3;1;1;2;2;2;1;1;1;1;;1;1;1;1;2;1;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;repeat the experiment or repeat the data analyses;1;1;;1;server at the institute;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1246;;;base;interview;14.08.2019 10:41;276;1;;1;;1;1;1;2;1;1;1;1;1;1;;6;2;1;1;2;2;1;1;1;;2;;1;;2;1;2;2;1;1;1;;1;Stored according to DFG rules;1;5;2;2;2;1;2;2;1;1;2;;1;2;;1;2;1;2;1;1;1;1;2;1;2;1;2;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;1;1;1;1;1;1;;2;;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1248;;;base;interview;14.08.2019 10:48;276;2;;2;;1;1;1;2;1;1;1;1;1;1;;4;2;1;1;2;2;1;1;1;;2;;1;;1;1;1;1;2;1;1;;3;;2;;;;;;;;;;;;;2;;;;;;;;;;2;2;2;1;1;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1251;;;base;interview;14.08.2019 11:30;-9;-9;;;;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1253;;;base;interview;14.08.2019 11:54;276;1;;1;;1;1;1;2;1;1;1;1;1;1;;6;4;1;2;2;2;1;2;1;;2;;1;;3;2;2;2;1;1;1;;1;data have to be archived for 5 years;1;3;2;1;2;2;1;1;1;1;1;;4;2;;1;1;1;1;1;2;2;1;3;2;2;2;1;1;1;1;1;;1;1;1;1;2;1;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1254;;;base;interview;14.08.2019 13:07;276;1;;3;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;2;1;1;1;1;;2;;1;;1;1;1;1;2;1;1;;2;;1;6;2;2;2;2;2;2;1;1;2;;2;2;;1;2;2;1;1;1;1;1;5;2;2;2;2;2;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;1;1;;2;;2;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1255;;;base;interview;14.08.2019 13:19;276;2;;2;;1;1;1;2;1;1;1;1;1;1;;4;1;1;1;2;1;1;1;1;;2;;1;;1;1;1;1;2;1;1;;1;published data is saved in raw and analyzed version;1;3;1;1;2;1;2;2;1;1;1;;1;2;;1;1;1;1;1;2;2;1;2;1;2;1;2;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;3;1;1;2;2;2;1;1;1;1;;1;1;1;1;1;1;2;open acess paper with data in repository;1;1;zenodo.org;1;1;1;1;1;1;1;2;1;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1256;;;base;interview;14.08.2019 13:29;840;1;;2;;1;1;1;1;1;2;1;1;1;1;;5;1;1;2;1;1;1;1;1;;2;;1;;2;1;1;1;2;2;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;4;2;1;2;2;1;2;1;1;;1;3;1;2;2;2;1;1;1;1;;1;2;1;1;2;2;1;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;2;2;2;1;1;1;1;1;1;;1;comparison, benchmarking against own data (simulation);1;1;;3;;--;data is generated by self-written programs. Transferability to others is difficult due to lack of standards.;2;;;;;;;;;;;;;;;;;;;;;;;;
1257;;;base;interview;14.08.2019 14:04;276;1;;1;;1;1;2;1;1;1;1;1;1;1;;8;5;2;1;2;2;2;2;1;;2;;1;;3;1;2;2;1;2;1;;2;;1;4;2;2;1;1;2;2;1;1;1;;1;2;;1;1;1;1;1;2;2;1;2;2;1;2;1;1;1;1;1;;1;2;1;1;1;2;2;1;1;1;;1;3;1;1;1;2;2;1;2;1;1;;1;2;2;2;1;1;1;;1;2;;2;1;1;2;2;1;1;1;1;;1;confirmation of physical data;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1261;;;base;interview;14.08.2019 15:28;276;1;;1;;1;1;1;2;1;1;1;1;1;1;;8;1;1;1;2;1;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1262;;;base;interview;14.08.2019 15:28;276;2;;2;;1;1;1;2;1;1;1;1;1;1;;4;3;2;1;2;2;1;1;1;;2;;2;Manually copy single data points from one document to another for analysis;3;2;2;2;1;1;1;;1;"Published data is centrally archived; unpublished data on the hard drive of the group leader";2;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;1;2;1;1;1;1;;1;3;1;1;2;2;2;1;1;1;;1;1;1;1;2;1;1;1;1;1;1;;1;2;2;2;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;1;osf.io;/;adding metadata to make the data more accessible for other people;2;;;;;;;;;;;;;;;;;;;;;;;;
1268;;;base;interview;14.08.2019 16:22;276;2;;2;;1;1;1;2;1;1;1;1;1;1;;5;1;1;1;2;1;1;1;1;;1;"Recording Raman and IR spectral data using Commercial devices e.g Witec (.WIP), Renishaw (.wdf) etc
Exporting data as .txt or .dat
Analysis using R and home built script
Plotting data for display e.g in Origin (.opj) or Excel (.xlsx)
Importing figures into MS powerpoint (.pptx) or vector graphic software e.g Inkscape(.svg) for generating figures for publication";2;"Analyzed spectral data is imported into the Origin.
Peaks position are marked and manually transferred on the figures using powerpoint or inkscape for publication";3;2;2;2;1;1;1;;1;All raw data and processed data used for publication should be archived;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;1;2;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;3;1;2;1;2;1;1;2;1;1;;1;1;1;1;1;1;2;In the form of publications in journals;1;1;SDBM database;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;Electronic lab book, personalized cloud for regular data backup, training for efficient data storage and update;Automation of data extraction for analysis, electronic lab book service for efficient retracing protocols, saving mirror copy of the data as archive and data backup for personal reuse;1;;;;;;;;;;;;;;;;;;;;;;;;
1269;;;base;interview;14.08.2019 16:33;276;2;;2;;3;1;1;2;1;1;1;1;2;2;Chemometrics;9;2;1;2;2;1;1;1;1;;2;;1;;3;2;2;2;1;1;1;;3;;2;;;;;;;;;;;;;2;;;;;;;;;;2;2;1;1;2;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;1;1;1;1;2;1;;1;1;NIST;3;2;2;1;2;1;1;1;1;;1;to test/compare algorithms;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1270;;;base;interview;14.08.2019 16:33;276;1;;3;;2;1;1;2;1;2;1;1;1;1;;1;3;1;2;2;1;1;2;1;;2;;1;;2;2;2;1;1;1;1;;1;If you have a publication, you have to sent the there presented plots inf form of raw and processed data to the boss.;1;3;1;1;2;2;1;2;1;1;1;;1;2;;1;1;1;1;1;2;2;1;3;2;1;1;2;2;1;1;1;;1;2;1;1;1;2;2;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;1;scinote;1;1;1;1;1;2;1;1;1;;1;;1;2;There are no rules in our group on how to add metadata and some people proceed there data manually (e.g. search in a column for a maximum) other group members proceed there data with individual scripts (e.g. Fit gauss-function on fluorescence data and use the center of the gauss as maximum position and not the local maxima of the data).;1;SciNote;Rules for metadata and how to add it not manually;Storage with useful metadata;1;;;;;;;;;;;;;;;;;;;;;;;;
1271;;;base;interview;14.08.2019 17:07;276;1;;8;;1;1;1;2;1;1;1;1;1;1;;6;1;1;1;2;1;1;1;1;;2;;1;;4;2;2;2;2;1;1;;1;all data need to be saved: raw and processed including all steps;1;2;1;1;2;1;2;1;1;1;2;;2;2;;1;2;1;2;1;1;1;1;4;2;2;2;1;2;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;1;2;they do not fit to our experiments;1;;1;1;;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1272;;;base;interview;14.08.2019 22:18;276;2;;8;;1;1;1;1;1;1;1;1;2;1;;6;2;1;1;2;2;1;1;1;;2;;1;;4;2;2;2;1;2;1;;3;;2;;;;;;;;;;;;;2;;;;;;;;;;4;2;2;1;2;2;1;1;1;;1;4;1;2;2;2;2;1;1;1;;1;2;1;1;2;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1274;;;base;interview;15.08.2019 08:33;276;1;;7;Chemical employee;1;1;2;1;1;1;1;1;1;1;;9;2;2;1;2;1;1;1;1;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1275;;;base;interview;15.08.2019 09:06;276;2;;8;;2;2;1;1;1;1;1;1;1;2;Catalysis;8;2;2;1;2;1;1;1;1;;1;"temperature
pressure
mass, quantitity (readout of a balance)
visual observations (colour for instance)
time
";2;No - that would take too long;3;2;1;2;1;1;2;Results of further interpretation;1;Keep data available for at least ten years;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;1;1;2;1;1;1;;1;3;1;2;1;1;2;1;1;2;Sharing is done upon request;1;4;1;1;1;2;2;1;2;1;2;Sharing is done upon request;1;1;2;1;1;1;1;;1;1;Human Metabolome Database, SDBS, Cambridge Crystallographic Data Centre, NMRShiftDB;3;2;1;2;2;1;1;1;1;;1;Comparison with own results, reference purposes, sometimes extraction of information that was not provided in the published data analysis/description;1;1;;2;;no spontaneous idea;no spontaneous idea;1;;;;;;;;;;;;;;;;;;;;;;;;
1276;;;base;interview;15.08.2019 09:34;276;1;;8;;2;1;1;2;1;1;1;2;1;1;;5;3;2;2;1;1;2;1;1;;3;;1;;3;2;2;2;1;1;1;;3;;1;6;2;2;2;2;2;2;1;1;3;both;1;2;;1;2;1;2;1;1;1;1;3;1;2;2;2;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1277;;;base;interview;15.08.2019 12:31;156;2;;3;;1;1;1;2;1;1;1;1;1;1;;1;2;1;1;2;2;1;1;1;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1280;;;base;interview;15.08.2019 13:39;-9;-9;;;;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1282;;;base;interview;15.08.2019 13:44;276;1;;3;;1;1;1;2;1;1;1;1;1;1;;2;1;1;1;2;1;1;1;1;;2;;2;After obtaining spectral information the peaks are assigned to the corresponding vibrational modes manually.;1;1;1;1;2;1;1;;1;All the experiments performed are noted on the officially authorized lab books and the data are stored in a storage which are only allowed to be shared and used for internal purposes;3;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;2;1;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;2;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1283;;;base;interview;15.08.2019 13:44;276;1;;2;;1;1;1;2;1;1;1;1;1;1;;5;2;1;1;2;2;1;1;1;;2;;1;;2;2;2;1;1;1;1;;3;;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;1;1;2;1;2;1;1;;1;2;1;1;2;2;1;1;1;1;;1;2;1;1;2;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;3;2;2;2;1;1;1;1;1;;1;review articles and model testing;1;1;;2;;none;nothing;2;;;;;;;;;;;;;;;;;;;;;;;;
1287;;;base;interview;15.08.2019 13:51;276;2;;3;;1;1;1;2;1;1;1;1;1;1;;2;2;1;1;2;2;1;1;1;;2;;1;;4;2;2;2;1;2;1;;1;upon publication on institute server;2;;;;;;;;;;;;;2;;;;;;;;;;2;2;2;1;1;1;1;1;1;;1;2;1;1;2;2;1;1;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;1;1;1;1;1;1;;2;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1288;;;base;interview;15.08.2019 13:52;356;1;;3;;1;1;1;1;1;1;1;1;1;2;Photonics;4;2;1;1;2;2;1;1;1;;2;;1;;1;1;1;1;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;1;1;1;2;2;1;1;;1;2;1;1;1;2;2;1;1;1;;1;2;1;1;2;2;1;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1289;;;base;interview;15.08.2019 13:53;276;2;;3;;1;1;1;1;1;1;1;1;2;1;;4;2;1;1;2;2;1;1;1;;2;;1;;4;2;2;2;2;1;1;;2;;1;4;1;1;2;1;2;2;2;1;2;;1;2;;1;1;1;1;1;2;2;1;2;2;2;1;1;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;2;1;1;1;2;2;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;2;2;2;1;1;1;1;1;1;;1;To establish another evauation approach out of other data e.g. for Kinetic calculations out of binding experiments;1;1;;1;e.g. Dropbox;LIMS would be nice;a better connection of the data from different researchers and projects ;2;;;;;;;;;;;;;;;;;;;;;;;;
1290;;;base;interview;15.08.2019 13:58;360;1;;3;;1;1;1;1;1;1;1;1;2;1;;9;2;1;1;2;2;1;1;1;;3;;1;;4;2;2;2;2;1;1;;3;;1;6;2;2;2;2;2;2;1;1;1;;1;2;;1;2;1;2;1;1;1;1;4;2;1;2;2;2;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;1;1;1;1;1;1;1;2;1;1;;1;1;1;1;1;1;1;;2;2;;1;1;1;1;1;1;1;2;1;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1291;;;base;interview;15.08.2019 13:58;276;2;;7;Scientific management;1;1;1;2;1;1;1;1;1;1;;5;3;1;2;2;2;1;1;1;;1;;2;Documentation of lab-work in Paper-notebooks;1;1;2;1;1;1;1;;1;all data belonging to a publication are stored centrally for 10 years.;2;;;;;;;;;;;;;2;;;;;;;;;;1;1;2;1;1;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;3;1;2;1;2;2;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;2;2;2;1;1;1;1;1;1;;1;;1;1;;1;;financial support for more storage;;2;;;;;;;;;;;;;;;;;;;;;;;;
1295;;;base;interview;15.08.2019 14:12;356;1;;3;;1;1;1;2;1;1;1;1;1;1;;3;2;2;1;2;1;1;1;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1298;;;base;interview;15.08.2019 14:43;276;2;;3;;1;1;1;1;1;1;1;2;1;1;;2;3;2;2;2;1;1;1;1;;1;Writing down important data into Institutional Labbook;1;;3;2;2;2;1;1;1;;1;Data has to be saved according to the project;1;6;2;2;2;2;2;2;1;1;1;;1;2;;1;1;1;1;1;2;2;1;3;1;2;1;2;1;2;1;1;;1;3;1;2;1;2;2;1;1;1;;1;3;1;1;2;2;2;1;1;1;1;;1;3;2;2;2;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;Categorization of data into logical structures ;1;;;;;;;;;;;;;;;;;;;;;;;;
1300;;;base;interview;15.08.2019 15:07;276;2;;8;;2;1;1;2;1;1;1;1;1;2;Optics;8;2;1;2;2;1;1;1;1;;2;;1;;1;1;1;1;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;1;1;2;2;1;1;1;;1;1;1;1;1;2;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;2;2;2;1;1;1;1;1;1;;1;Spectrum reanalysis / simulation;1;1;;2;;-;-;2;;;;;;;;;;;;;;;;;;;;;;;;
1303;;;base;interview;15.08.2019 15:16;276;2;;2;;1;1;1;2;1;1;1;1;1;1;;4;2;1;1;2;2;1;1;1;;1;Manual count of dead cells via Trypan blue staining under bright field microscope;1;;2;2;1;1;1;1;2;scripts;1;rules of good scientific practice;2;;;;;;;;;;;;;2;;;;;;;;;;2;2;2;1;1;1;1;1;1;;1;2;1;2;1;1;2;1;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;2;1;1;1;1;1;1;;1;It has been included in one figure of PhD thesis;1;1;;2;;version control of scripts ;improvement of internal file sharing system in terms of structured data archiving ;2;;;;;;;;;;;;;;;;;;;;;;;;
1304;;;base;interview;15.08.2019 15:20;276;2;;2;;1;1;1;1;1;1;1;2;1;1;;4;3;1;2;2;2;1;1;1;;1;Temperature, preasure, etc;2;excel analysis;2;2;1;1;2;1;1;;3;;3;;;;;;;;;;;;;2;;;;;;;;;;4;2;2;1;2;2;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;3;1;1;1;2;2;1;2;1;1;;1;1;1;1;1;1;1;;2;2;;2;2;2;1;1;1;1;1;1;;1;comparison, addition;1;1;;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1314;;;base;interview;15.08.2019 17:49;276;3;;6;;2;1;2;1;1;1;2;1;1;1;;8;2;2;1;2;1;1;1;1;;2;;1;;1;1;1;1;2;1;1;;1;Rules primarily for data consistency;1;7;2;2;2;2;2;2;2;1;1;;2;1;inhouse developed;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;Central servers and databases of the company;1;2;2;1;1;1;1;2;1;1;;1;1;1;1;1;1;1;1;1;1;2;Sharing is only within the company;1;1;1;1;1;2;1;;1;2;;3;2;2;2;1;1;1;1;1;;1;Reproducing experiments and analysis of structure activity relationships.;1;1;;1;Services I use were all developed inhouse of the company.;More consistency in data and reformatting in the interfaces.;Data consistency of some ill defined data categories urgently need improvement. Most data are machine readable but that doesn't necessarily mean they are processable. ;1;;;;;;;;;;;;;;;;;;;;;;;;
1315;;;base;interview;15.08.2019 18:43;276;2;;3;;1;1;1;2;1;1;1;1;1;1;;3;2;1;1;2;2;1;1;1;;2;;1;;1;2;1;1;1;1;1;;1;raw data and scripts for processing / analysis are stored on a server before publication of the research;1;3;1;1;2;1;2;2;1;1;1;;3;1;labfolder;1;1;1;1;1;2;2;1;2;1;2;1;2;1;1;1;1;;1;2;1;1;1;2;2;1;1;1;;1;1;1;1;1;1;2;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;data structure guidelines;2;;;;;;;;;;;;;;;;;;;;;;;;
1316;;;base;interview;15.08.2019 19:26;276;2;;8;;1;1;1;2;1;1;1;1;1;1;;5;1;1;1;2;1;1;1;1;;2;;2;Print out spectra and assign the Raman modes based on comparing with data from literature;4;2;2;2;2;1;1;;1;from all published results the raw and processed data are stored on server;2;;;;;;;;;;;;;2;;;;;;;;;;2;2;2;1;1;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;4;1;2;1;2;2;1;2;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;1;dropbox;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1320;;;base;interview;16.08.2019 07:54;276;1;;3;;1;1;1;2;1;1;1;1;1;1;;1;2;1;1;2;1;1;2;1;;2;;2;I don't do anything offline. The most old-fashioned thing is cyclovoltammetry where I need to copy the acquired data manually into a text editor sheet to do further analysis.;1;1;1;1;2;1;1;;1;data needs to be archived in the university cloud;2;;;;;;;;;;;;;2;;;;;;;;;;1;1;1;1;1;1;2;1;1;;1;2;1;1;1;2;2;1;1;1;;1;2;1;1;1;2;2;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;2;I trust cloud systems more than harddrives. Same applies in my research group.;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
